"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"Quel âge as-tu ?","Ton activité principale:","Tu es :","Quand as-tu rejoint le Super Cafoutch ?","Tu viens faire tes courses au Super Cafoutch...","le choix","la qualité","le prix","le choix","la qualité","le prix","le choix","la qualité","le prix","le choix","la qualité","le prix","le choix","la qualité","le prix","Est-ce qu’il y a des produits (alimentaires ou pas) que tu aimerais trouver au Super Cafoutch ?","Au-delà des produits, que pourrait-on améliorer pour que tu prennes encore plus de plaisir à faire tes courses au Super Cafoutch ?","Les horaires d'ouverture actuels te conviennent-ils?","lundi","mardi","mercredi","jeudi","vendredi","samedi","dimanche","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","Depuis que tu as rejoint le projet, à quelle fréquence as-tu effectué tes créneaux ?","le magasin est trop loin de chez moi","je n’ai pas le temps","les horaires d’ouverture ne me conviennent pas","j’ai peur de ne pas savoir faire","je suis intéressé par le supermarché mais pas l'épicerie dans son format actuel","autre","Précise s'il te plait...","des relances par email pour m'inscrire","plus de créneaux disponibles","des fiches des créneaux plus facilement accessible","la possibilité de faire d’autres types de créneaux (tenir un stand, etc)","Précise s'il te plait...","lundi","mardi","mercredi","jeudi","vendredi","samedi","dimanche","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","entre 8h et 12h","entre 12h et 17h","entre 17h et 21h","Nous avons une piste de local qui correspondrait à nos critères de recherche (surface, configuration, loyer = 5000 Euros/mois). Si notre supermarché Super Cafoutch s’implante rue Providence (voir plan), viendrais-tu y faire tes courses et créneaux?","la localisation est trop éloignée de mon logement","je n'aime pas cet endroit de Marseille","cet endroit est trop peu desservi par les transports en commun","je ne peux pas me garer","Autre","Précise s'il te plait...","Es-tu déjà venu à un forum ?","ça ne m’intéresse pas","je ne suis pas disponible en semaine en fin de journée","c’est trop loin de chez moi","je ne suis pas informé de la date et de l’heure","autre","Précise s'il te plait...","Qu’est-ce qui t’as plu au forum ?","Est-ce qu’il y a des thèmes que tu souhaiterais voir aborder en forum, as-tu des idées pour améliorer ce temps coopératif ?","Es-tu impliqué.e dans le travail d'une branche du Super Cafoutch (ex: communication, épicerie...) ?","Souhaiterais-tu t'impliquer dans le travail d'une (autre) branche ?","le futur supermarché (permettre l’ouverture du Super Cafoutch)","épicerie (faire tourner le magasin et passer les commandes)","communication (faire connaître le Super Cafoutch au plus grand nombre et assurer la communication interne)","animation et intégration (aider chacun à trouver sa place et créer des moments de partage et de convivialité)","zéro waste (réduire le gaspillage et limiter les déchets)","informatique (gérer les systèmes informatiques du Super Cafoutch)","comptabilité/administratif (assurer le suivi comptable de l’association et de l’administratif)","organisation interne (définir les rêgles de notre fonctionnement interne afin de faciliter une prise de décision partagée)","Ravi de voir que tu souhaites t’impliquer dans le travail des branches ! Pour te recontacter, peux-tu nous indiquer ton mail ?","Lorsque tu as rejoint le projet t’es-tu senti.e accueilli.e et orienté.e ?","Nous sommes en train de travailler sur notre parcours d’intégration interne. Des idées à partager pour l’améliorer ?","Souhaiterais-tu avoir accès au google drive « Super Cafoutch Membres » contenant des informations sur chaque branche?","apéro mensuel","concours de tartes","atelier pâtes avec Arcimboldo","découvrir le pain avec la boulangerie Salvator","journée portes ouvertes","décrypter les étiquettes et faire ses courses en conscience","disco soupe","projection(s) de film(s)","Des idées d’animation à proposer ?","Serais-tu disponible pour participer à l’organisation de cette.ces activité.s ?","Pour te recontacter, peux-tu nous indiquer ton mail ?","Envie de rajouter quelque chose (ce qui te plaît le plus, s’il fallait changer quelque chose ce serait quoi, une proposition à partager , etc.) ?"
"entre 30 et 40 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","très bien","très bien","pas terrible","pas terrible","très bien","bien","très bien","très bien","très bien","pas terrible","très bien","pas d'avis","pas terrible","très bien","pas terrible","Yaourt grand volumes en verre, bicarbonate et vinaigre blanc en vrac, sardines moins chères.","Les prix!","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Ambiance conviviale, dynamique, constructif et participatif","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","","","","Essayer de proposer plusieurs versions du même produit accessibles en prix et correspondant aux habitudes des gens du quartier."
"entre 30 et 40 ans","auto-entrepreneu.r.se","un homme","il y a moins de 6 mois","une fois par semaine","pas terrible","très bien","très bien","bien","très bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","bien","très bien","très bien","Graines de soja en vrac","","oui","X","X","X","X","","","","","","X","","","X","","","X","","","X","","","","","","","","","","une fois par mois","","","","","","","","","X","","","","X","X","X","X","","","","","","X","","","X","","","X","","","X","","","","","","","","","","oui","","","","","","","non","","","","","X","Je n'ai pas pris le temps","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","pas d'avis","très bien","","","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","une fois par semaine","bien","très bien","très bien","bien","bien","bien","très bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","","","non","","X","","X","X","X","","","","","","X","","","","","","X","","","X","","","X","","","","","une fois par mois","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","oui","","","","","","","oui","","","","","","","","","oui","non","","","","","","","","","","un peu","une réunion de formation avec présentation de nos outils (slack, drive, c'est quoi un forum?)","j’y ai déjà accès","très bien","pas d'avis","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
"plus de 60 ans","retraité.e","une femme","il y a moins de 6 mois","deux fois par mois","pas terrible","pas terrible","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas terrible","pas terrible","pas terrible","bien","bien","bien","","","oui","","","","","X","","","","","","","","","","","","","","","X","","","","","","","","","une fois par mois","","","","","","","","","","X","X","","X","X","X","X","","","","X","","","X","","","X","","","X","","","","","","","","","","","","oui","","","","","","","non","","","","","X","depuis que je suis coopérateur il n'y a pas eu de forum mais une réunion d'information","","","non","oui","","","X","X","","","","","mi.presse@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","Je n'ai assisté à rien ","oui","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","une fois par semaine","pas terrible","très bien","bien","bien","très bien","bien","très bien","très bien","bien","bien","très bien","bien","bien","très bien","bien","","","non","","","","","X","","X","","","","","","","","","","","","","","X","X","","","","X","X","X","une fois par mois","","","","","","","","","","X","X","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","X","X","X","oui","","","","","","","oui","","","","","","","permet de savoir comment avance le projet + apéro","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","atelier ""je fabrique mes produits ménagers""","non","",""
"plus de 60 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois par mois","pas terrible","bien","bien","pas terrible","bien","bien","bien","très bien","très bien","bien","très bien","très bien","bien","bien","pas terrible","VIANDES ET POISSONS","Plus de diversité de produits dont du frais","oui","X","","X","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","je n'ai jamais fait de créneau","X","X","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","oui","","","","","","","oui","","","","","","","la vitalité et la richesse des débats","L'agriculture de proximité-le soutien aux producteurs locaux (empreinte carbone )","oui","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","pas d'avis","bien","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par mois","très bien","très bien","très bien","pas terrible","pas terrible","très bien","très bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","très bien","","","oui","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","X","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","je n'étais pas dispo les jours proposés","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 20 et 30 ans","salarié.e à mi-temps","une femme","entre 6 mois et un an","une fois par mois","pas terrible","très bien","très bien","bien","très bien","très bien","bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","","","oui","X","","","","","X","","","X","X","","","","","","","","","","","","","X","X","","","","","une fois par mois","","","","","","","","","","","","","X","","","","","X","","","X","X","","","","","","","","","","","","","X","X","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","très bien","bien","pas terrible","pas terrible","pas terrible","pas d'avis","pas d'avis","pas d'avis","pas terrible","pas d'avis","pas d'avis","pas terrible","bien","très bien","très bien","Je venais pour les fruits et légumes et produits ménagers mais maintenant je ne viens plus car le choix des fruits et légumes et","Plus d'heures d'ouverture et une personne responsable.","non","","","","","","X","X","","","","","","","","","","","","","","","","X","","","X","","","une fois par mois","","","","","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","oui","","","","","","","non","","","","","X","Ce n'est pas une priorité piur moi et j'arrive à trouver l'information quand j'en ai besoin.","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça ne m’intéresse pas","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","","Je me sens un peu dis-connectée mais je pense que c'est parce que je ne suis pas en adéquation réelle avec l'asso. "
